unixReviewTime,summary
1313539200,Work Well - Should Have Bought Longer Ones
1315094400,Okay long cables
1374710400,Looks and feels heavy Duty
1292889600,Excellent choice for Jumper Cables!!!
1341360000,"Excellent, High Quality Starter Cables"
1258156800,Compact and Strong !
1326153600,nice cables
1371081600,for cars and pickups
1374105600,Coleman Cable 08665 12-Feet Heavy-Duty Truck and Auto Battery Booster
1390348800,Beefy
1381708800,fine consumer grade
1287705600,Jumper Cables - The Real Deal
1388102400,Great quality
1378598400,Plated copper wire from what I see
1358380800,Only 4 stars because I haven't used them
1384473600,Does what I expected it to do.
1283731200,Extend-A-Truck 944 Truck Bed Extender
1313020800,"No Brainer, Easy to Use, Sturdy"
1341792000,Easy install
1348531200,Love It!
1342396800,Great idea
1327363200,Good design and solid construction and compact
1307232000,Perfect for my outside car!
1241654400,average
1248134400,Does what it is supposed to
1230854400,GREAT FOR THOSE WHO TAKE PRIDE IN THEIR RIDE
1248307200,Gentle yet effective
1400198400,What to say
1362528000,The best car duster
1274659200,A must have
1399248000,The Best
1259280000,quick and easy dust removal
1401148800,california duster
1258502400,A Detailers Dream Come True
1404086400,"cheaply made, picks up some dust but leaves behind even more red fibers"
1336521600,Works as promised
1394064000,Second One
1199404800,Must have for keeping your car cleaner between washes
1160352000,Great! I wish I knew about this product earlier!
1395360000,The Original Car Duster is the Best
1400544000,Still does the job
1404086400,Perfect Size
1374796800,VW Beetle Dashboard Finally Clean!
1403049600,Just perfect size  for interiors . Cleans dash and instrument panel perfect .
1365724800,works great
1173571200,Gets the dust off your dashboard
1359849600,Leaves red lint. Good otherwise
1399420800,"Nice product, not sure about previous negative reviews"
1206748800,Pretty easy to use
1217116800,great buy
1214784000,A good tool for $89
1190764800,Actron Auto Scanner
1184025600,An inexpensive tool that can save you a ton of money!
1174780800,Pay no attention to that man behind the curtain...
1353196800,Cheap and works
1360972800,Not quite what I thought it would be.
1282608000,Exactly what I needed
1368662400,Simple and somewhat effective
1374105600,Premium Air Deflector
1315008000,Well built and looks nice
1390003200,Works Very Well!
1347840000,Bought this for a ceiling vent
1330128000,Works
1377820800,Works as intended
1171670400,excellent vents
1371254400,20 years old and still in good shape
1372723200,Decent lock for under $10
1298246400,'09 UNL Wrangler X
1385942400,Works great
1356393600,Very useful and effective!
1382313600,"Something Every Jeep Owner Needs To Think about, How To Protect My Spare"
1351382400,Just OK
1369612800,great
1335139200,Seems alright
1368230400,nice clean stainless steel design
1395014400,Receiver lock
1386460800,"I like it so far, very well made. I oiled it up good before placing it on my vehicle"
1263772800,saves your trailer breaks your nails
1361577600,On the Road
1396224000,Good but...
1403654400,Simply works
1388793600,Good for all seasons
1400544000,"Great stuff, the original"
1405036800,Makes driving in the rain easier
1371686400,rain-X awesome
1387843200,it works temporarily
1336089600,This is a great product for improving road safety and keeping your windows clean!
1403481600,Rain x
1388620800,gotta love it
1385683200,Surprisingly effective!
1383177600,works great
1386806400,Rain-X 800002243 Glass Treatment- 7 oz.
1404518400,rainx works
1365724800,Love Rain-X
1381536000,Wow!
1368316800,Master Lock
1393372800,Adequate SUV spare tire lock
1395619200,"Seems lightweight, but should be fine"
1403913600,good price
1284076800,Works as Described
1367280000,Other use securing a winch
1343001600,Perfect for small openings
1333324800,Small and works
1397174400,Not expensive a and works
1361491200,Versatile Wonder
1372982400,"It's a funnel, does what you need, the price is fair."
1393113600,Works great!
1397520000,Smaller than I thought
1374537600,Need the fine tip.
1339545600,Great affordable funnel!
1361836800,Love this little funnel!!!
1405123200,Five Stars
1325203200,Hopkins Flo Tool Spill Saver Multi-Purpose Funnel
1395446400,Small.. works well.
1388534400,Awesome multi use funnel
1371254400,Perfect for putting oil in my Robin Subaru RG3200is portable generator
